FASTWEB-fd6deP;WOW FI - FASTWEB;D-Link-EAAFB1;INCENTIVE;Vodafone-WiFi;CLASSE(Stanza)
-67;-70;-73;-86;-77;1
-69;-70;-68;-76;-71;1
-66;-66;-73;0;-73;1
-65;-66;-72;-83;-75;1
-62;-68;-72;-75;-70;1
-74;-72;-74;-81;-70;1
-65;-72;-86;0;0;1
-71;-70;-75;-76;-73;1
-64;-66;-66;0;-71;1
-57;-60;-70;-84;-67;1
-64;-64;-75;0;-73;1
-61;-60;-85;-79;-79;1
-61;-60;-85;-79;-79;1
-48;-48;-87;-69;-71;1
-50;-50;-77;-68;-71;1
-73;-73;-78;-78;-75;1
-61;-62;-68;-76;-76;1
-63;-64;-70;-73;-70;1
-54;-56;-71;-77;-68;1
-56;-57;-72;-76;-69;1
-49;-49;-80;-71;-84;2
-48;-49;-75;-72;-78;2
-43;-43;-75;-67;-77;2
-45;-46;-79;-62;-80;2
-47;-48;-80;-72;-88;2
-38;-39;-82;-75;-86;2
-48;-48;0;-67;-88;2
-41;-41;-81;-81;-73;2
-48;-48;-89;-72;-79;2
-40;-41;0;-78;-84;2
-38;-38;-79;-68;-80;2
-44;-45;-84;-75;-76;2
-51;-50;-74;-79;-67;2
-50;-50;-75;-86;-86;2
-37;-38;-75;-64;-83;2
-28;-28;-80;-64;-81;2
-45;-45;0;-65;-91;2
-40;-39;-80;-65;-87;2
-38;-39;-88;-69;-79;2
-44;-41;-80;-72;-82;2
-42;-42;0;-64;-90;3
-41;-41;-80;-63;-87;3
-44;-47;-79;-65;-82;3
-44;-44;-78;-75;-73;3
-51;-51;0;-73;-79;3
-47;-47;-85;-69;-81;3
-46;-47;0;-65;-84;3
-42;-46;-86;-69;-83;3
-45;-43;-85;-61;-84;3
-46;-45;0;-78;-78;3
-46;-47;-88;-66;-82;3
-45;-45;-88;-74;-87;3
-46;-46;0;-71;-78;3
-46;-49;0;-63;-77;3
-53;-53;0;-53;-92;3
-50;-48;-94;-66;-84;3
-48;-47;0;-69;-86;3
-46;-46;-88;-64;-74;3
-47;-47;0;-74;-82;3
-48;-48;-87;-72;-84;3
-72;-72;-73;-47;-72;1
-68;-71;-77;-76;-70;1
-61;-61;-74;-79;-73;1
-66;-69;-72;-81;-74;1
-69;-68;-73;-80;-73;1
-67;-66;-73;-79;-73;1
-62;-63;-74;-79;-77;1
-61;-61;-71;-76;-78;1
-64;-64;-79;-71;-68;1
-65;-64;-81;-81;-74;1
-63;-62;-84;0;-66;1
-63;-66;-84;-77;-70;1
-63;-65;-75;0;-73;1
-59;-71;-77;0;-74;1
-66;-66;-68;-76;-71;1
-75;-74;-56;0;-69;1
-60;-63;-88;-75;-70;1
-56;-61;-83;-76;-71;1
-54;-55;-70;0;-75;1
-54;-55;-70;0;-75;1
-58;-63;-74;-72;-80;2
-58;-63;-74;-72;-80;2
-42;-42;0;-62;-77;2
-42;-42;-92;-67;-77;2
-39;-40;0;-68;-73;2
-39;-39;-73;-66;-73;2
-46;-45;-79;-65;-77;2
-58;-56;-80;-70;-78;2
-43;-44;0;-65;-74;2
-52;-52;0;-84;-68;2
-48;-47;-87;-78;-71;2
-41;-43;-83;-67;-73;2
-47;-47;-92;-68;-82;2
-39;-40;-92;-68;-86;2
-36;-39;-92;-61;-77;2
-43;-44;0;-66;-68;2
-42;-44;-88;-63;-75;2
-45;-43;-88;67;-70;2
-43;-45;-92;-68;-68;2
-52;-47;-80;-72;-77;2
-47;-50;-88;-59;-88;3
-42;-44;-88;-72;-83;3
-48;-46;-86;-68;-85;3
-48;-47;-89;-67;-86;3
-43;-46;-87;-67;-83;3
-46;-46;-89;-74;-85;3
-46;-45;-85;-66;-81;3
-49;-49;-86;-66;-82;3
-48;-47;0;-66;-81;3
-48;-48;-88;-71;-82;3
-50;-50;-89;-67;-86;3
-48;-48;-84;-68;-80;3
-48;-48;-84;-68;-81;3
-46;-52;0;-65;-88;3
-47;-46;-79;-75;-84;3
-45;-45;0;-70;-84;3
-57;-57;0;-64;-84;3
-51;-51;-89;-74;-86;3
-50;-51;-87;-74;-88;3
-50;-51;-84;-74;-89;3
