FASTWEB-fd6deP;WOW FI - FASTWEB;D-Link-EAAFB1;INCENTIVE;Vodafone-WiFi;FASTWEB-H6D6XP;Grillandia;ginger;CLASSE(Stanza)
-47;-46;-100;-71;-83;-74;-75;-100;2
-47;-47;-100;-75;-83;-74;-74;-100;2
-43;-43;-85;-71;-82;-67;-75;-100;2
-45;-45;-89;-79;-85;-75;-76;-100;2
-47;-47;-90;-80;-90;-73;-78;-100;2
-46;-45;-90;-80;-89;-76;-77;-100;2
-45;-45;-91;-83;-87;-77;-79;-100;2
-43;-43;-87;-77;-85;-76;-80;-100;2
-44;-43;-86;-83;-87;-78;-80;-100;2
-43;-45;-100;-84;-89;-79;-100;-100;2
-43;-43;-100;-86;-87;-79;-84;-100;2
-43;-43;-86;-75;-81;-79;-75;-92;2
-44;-44;-87;-74;-68;-70;-70;-100;2
-33;-34;-94;-67;-76;-71;-81;-93;2
-26;-29;-100;-66;-71;-68;-70;-100;2
-26;-30;-78;-64;-80;-70;-78;-100;2
-30;-29;-100;-61;-80;-65;-77;-100;2
-27;-28;-82;-68;-80;-64;-83;-90;2
-28;-27;-100;-72;-79;-65;-73;-100;2
-41;-41;-83;-66;-75;-75;-80;-88;2
-41;-41;-88;-65;-80;-75;-84;-88;2
-44;-44;-84;-64;-81;-70;-81;-100;2
-47;-47;-76;-86;-70;-73;-100;-100;2
-52;-51;-84;-78;-69;-77;-70;-100;2
-53;-53;-82;-78;-71;-79;-70;-90;2
-52;-52;-90;-80;-69;-74;-72;-100;2
-51;-51;-100;-76;-71;-78;-72;-89;2
-52;-52;-82;-75;-70;-77;-69;-100;2
-50;-50;-82;-73;-68;-76;-73;-90;2
-49;-49;-83;-89;-68;-70;-63;-100;2
-54;-55;-87;-85;-66;-72;-67;-100;2
-48;-49;-86;-88;-68;-67;-66;-90;2
-50;-50;-85;-87;-66;-66;-66;-100;2
-52;-53;-81;-83;-68;-72;-64;-92;2
-50;-50;-80;-88;-68;-75;-63;-91;2
-50;-50;-87;-90;-67;-77;-62;-92;2
-33;-32;-77;-65;-82;-73;-79;-100;2
-39;-40;-100;-65;-80;-81;-85;-100;2
-38;-39;-89;-68;-80;-82;-85;-100;2
