FASTWEB-fd6deP;WOW FI - FASTWEB;D-Link-EAAFB1;INCENTIVE;Vodafone-WiFi;TIM_MF920V_97FE;FASTWEB-H6D6XP;Grillandia;ginger;CLASSE(Stanza)
-39;-41;-93;-63;-83;-80;-77;-78;-100;2
-40;-40;-100;-64;-79;-81;-77;-78;-100;2
-39;-39;-82;-60;-89;-82;-77;-78;-100;2
-45;-44;-81;-68;-82;-83;-77;-78;-100;2
-38;-38;-85;-63;-84;-84;-77;-78;-100;2
-50;-50;-70;-71;-78;-85;-77;-78;-100;2
-63;-64;-85;-80;-73;-86;-77;-78;-100;2
-48;-47;-100;-70;-77;-87;-77;-78;-100;2
-40;-40;-100;-69;-77;-88;-77;-78;-100;2
-41;-40;-91;-69;-79;-74;-77;-78;-100;2
-41;-41;-100;-69;-78;-77;-77;-78;-100;2
-40;-40;70;-70;-77;-80;-77;-78;-100;2
-36;-39;-72;-66;-78;-82;-77;-78;-100;2
-41;-40;-91;-68;-78;-86;-77;-78;-100;2
-61;-61;-78;-100;-72;-53;-94;-90;-85;1
-61;-61;-87;-77;-72;-54;-94;-90;-85;1
-61;-61;-86;-79;-72;-55;-94;-90;-85;1
-61;-67;-74;-79;-76;-56;-94;-90;-85;1
-61;-60;-76;-85;-68;-57;-94;-90;-85;1
-56;-56;-70;-100;-78;-58;-94;-90;-85;1
-54;-55;-74;-78;-73;-59;-94;-90;-85;1
-54;-55;-74;-78;-73;-60;-94;-90;-85;1
-65;-65;-76;-79;-77;-61;-94;-90;-85;1
-67;-66;-82;-100;-67;-62;-94;-90;-85;1
-47;-47;-70;-77;-76;-63;-94;-90;-85;1
-60;-63;-72;-74;-72;-64;-94;-90;-85;1
-65;-63;-73;-83;-69;-65;-94;-90;-85;1
-61;-61;-75;-70;-68;-66;-94;-90;-85;1
-52;-53;-78;-79;-81;-67;-94;-90;-85;1
-60;-61;-86;-80;-66;-81;-65;-65;-100;3
-58;-58;-85;-78;-62;-82;-65;-65;-100;3
-54;-55;-100;-82;-66;-83;-65;-65;-100;3
-53;-54;-100;-72;-67;-84;-65;-65;-100;3
-63;-60;-89;-74;-57;-85;-65;-65;-100;3
-64;-64;-91;-77;-63;-86;-65;-65;-100;3
-60;-60;-84;-100;-67;-87;-65;-65;-100;3
-55;-57;-100;-80;-65;-88;-65;-65;-100;3
-56;-57;-100;-84;-55;-89;-65;-65;-100;3
-58;-58;-90;-86;-57;-90;-65;-65;-100;3
-55;-56;-76;-78;-54;-91;-65;-65;-100;3
-55;-54;-72;-74;-57;-92;-65;-65;-100;3
-65;-65;-69;-100;-61;-93;-65;-65;-100;3
-59;-59;-100;-83;-69;-94;-65;-65;-100;3
-55;-55;-73;-68;-55;-100;-65;-65;-100;3
-62;-61;-86;-86;-65;-100;-65;-65;-100;3
-55;-55;-76;-80;-58;-100;-65;-65;-100;3
-60;-60;-100;-73;-67;-100;-65;-65;-100;3
-51;-52;-85;-84;-61;-100;-65;-65;-100;3
-51;-52;-86;-71;-64;-100;-65;-65;-100;3
-62;-61;-100;-100;-72;-100;-65;-65;-100;3
-54;-57;-100;-100;-67;-100;-65;-65;-100;3
-63;-62;-100;-80;-68;-100;-65;-65;-100;3
-57;-57;-100;-72;-70;-100;-65;-65;-100;3
-57;-56;-100;-82;-62;-81;-65;-65;-100;3
-51;-53;-80;-100;-63;-82;-65;-65;-100;3
-57;-57;-81;-81;-58;-83;-65;-65;-100;3
-59;-60;-100;-88;-67;-84;-65;-65;-100;3
-56;-56;-100;-81;-64;-85;-65;-65;-100;3
-61;-62;-93;-87;-61;-86;-65;-65;-100;3
-56;-56;-87;-79;-65;-87;-65;-65;-100;3
-59;-59;-100;-91;-69;-88;-65;-65;-100;3
-60;-59;-100;-82;-73;-89;-65;-65;-100;3
-59;-60;-100;-100;-67;-90;-65;-65;-100;3
-64;-61;-100;-81;-71;-91;-65;-65;-100;3
-60;-60;-86;-89;-66;-92;-65;-65;-100;3
-62;-62;-85;-86;-62;-93;-65;-65;-100;3
-61;-61;-92;-87;-60;-94;-65;-65;-100;3
-60;-61;-77;-79;-56;-100;-65;-65;-100;3
-61;-56;-71;-80;-56;-100;-65;-65;-100;3
-63;-62;-70;-78;-57;-100;-65;-65;-100;3
-60;-58;-71;-80;-58;-100;-65;-65;-100;3
-60;-60;-69;-79;-56;-100;-65;-65;-100;3
-54;-54;-89;-77;-74;-74;-77;-78;-100;2
-68;-68;-79;-80;-87;-75;-77;-78;-100;2
-52;-52;-100;-79;-74;-76;-77;-78;-100;2
-51;-52;-100;-79;-74;-77;-77;-78;-100;2
-52;-52;-100;-76;-74;-78;-77;-78;-100;2
-54;-54;-100;-79;-73;-77;-77;-78;-100;2
-53;-52;-100;-79;-73;-80;-77;-78;-100;2
-54;-55;-100;-79;-73;-82;-77;-78;-100;2
-53;-53;-100;-78;-73;-86;-77;-78;-100;2
-55;-55;-89;-79;-73;-81;-77;-78;-100;2
-54;-54;-87;-79;-73;-84;-77;-78;-100;2
-52;-53;-100;-78;-74;-85;-77;-78;-100;2
-52;-52;-100;-79;-73;-86;-77;-78;-100;2
-50;-50;-100;-78;-74;-87;-77;-78;-100;2
-53;-53;-85;-79;-73;-88;-77;-78;-100;2
-52;-52;-84;-77;-73;-74;-77;-78;-100;2
-51;-52;-100;-100;-59;-77;-65;-65;-100;3
-62;-60;-100;-77;-68;-100;-65;-65;-100;3
-56;-55;-100;-85;-67;-100;-65;-65;-100;3
-60;-60;-88;-83;-61;-86;-65;-65;-100;3
-57;-57;-78;-87;-62;-88;-65;-65;-100;3
-58;-57;-80;-87;-58;-88;-65;-65;-100;3
-63;-63;-81;-71;-64;-81;-65;-65;-100;3
-60;-60;-71;-79;-64;-84;-65;-65;-100;3
-58;-59;-81;-78;-66;-83;-65;-65;-100;3
-61;-60;-100;-82;-72;-90;-65;-65;-100;3
